,date,PERMNO,SHRCD,EXCHCD,TICKER,PRC,VOL,RET,SHROUT
4200180,2019-10,15615,73.0,4.0,,70.4,23498.0,0.08507999999999999,1000.0
4200181,2019-10,15618,73.0,4.0,,24.505,875.0,0.001036,1000.0
4200182,2019-10,15623,11.0,1.0,,47.26,62247.0,0.047894,41818.0
4200183,2019-10,15626,73.0,4.0,,29.975,8624.0,0.060747,950.0
4200184,2019-10,15627,11.0,1.0,,63.66,242797.0,0.100052,84012.0
4200185,2019-10,15629,73.0,4.0,,53.59,121607.0,0.001307,113216.0
4200186,2019-10,15630,11.0,3.0,,27.82,242479.0,0.328558,63300.0
4200187,2019-10,15631,31.0,3.0,,0.66245,4946.0,-0.06789099999999999,4523.0
4200188,2019-10,15634,73.0,3.0,,32.44,498.0,0.024459,2800.0
4200189,2019-10,15635,73.0,3.0,,38.3708,2705.0,0.031398,2250.0
4200190,2019-10,15636,11.0,3.0,,3.5,404.0,-0.043716000000000005,9589.0
4200191,2019-10,15638,11.0,3.0,,47.95,151160.0,-0.011748,60208.0
4200192,2019-10,15639,11.0,3.0,,7.23,11170.0,-0.039841,10501.0
4200193,2019-10,15642,12.0,3.0,,0.7201,119280.0,-0.012073,35019.0
4200194,2019-10,15643,11.0,3.0,,15.54,309723.0,-0.06974,117924.0
4200195,2019-10,15644,11.0,3.0,,0.59,5253.0,-0.321839,25642.0
4200196,2019-10,15645,11.0,3.0,,3.56,19954.0,-0.295049,3150.0
4200197,2019-10,15646,11.0,3.0,,7.76,121960.0,0.026455000000000003,23198.0
4200198,2019-10,15647,11.0,1.0,,45.28,66285.0,0.147491,42567.0
4200199,2019-10,15648,11.0,1.0,,9.65,24371.0,-0.176621,14695.0
4200200,2019-10,15649,11.0,1.0,,266.92001,23917.0,0.012902,19353.0
4200201,2019-10,15650,11.0,1.0,,41.53,24311.0,0.020393,23108.0
4200202,2019-10,15651,11.0,3.0,,69.22,14548.0,0.004708,15049.0
4200203,2019-10,15653,11.0,3.0,,-20.005,12.0,-0.003487,1483.0
4200204,2019-10,15654,11.0,3.0,,2.69,37790.0,0.076,64583.0
4200205,2019-10,15655,73.0,5.0,,57.6152,800.0,0.004111999999999999,300.0
4200206,2019-10,15656,31.0,3.0,,1.93,168789.0,-0.035,78350.0
4200207,2019-10,15657,73.0,5.0,,34.6551,2353.0,0.018968,1400.0
4200208,2019-10,15658,11.0,3.0,,35.69,128967.0,0.0025280000000000003,36840.0
4200209,2019-10,15662,11.0,3.0,,0.9390000000000001,7867.0,-0.14636400000000002,8680.0
4200210,2019-10,15663,73.0,4.0,,41.0964,1319.0,-0.017462000000000002,700.0
4200211,2019-10,15664,11.0,3.0,,0.81,2513.0,-0.06682,21769.0
4200212,2019-10,15665,12.0,2.0,,3.015,4229.0,-0.021104,71875.0
4200213,2019-10,15666,73.0,5.0,,20.2518,1064.0,0.017556,700.0
4200214,2019-10,15673,73.0,4.0,,26.905,1122.0,0.049542,500.0
4200215,2019-10,15674,44.0,1.0,,14.71,17279.0,0.092926,17232.0
4200216,2019-10,15677,73.0,4.0,,32.59,26184.0,0.039222,55000.0
4200217,2019-10,15678,73.0,4.0,,61.13,84038.0,0.020705,113702.0
4200218,2019-10,15679,73.0,4.0,,24.5334,258.0,0.018829,1200.0
4200219,2019-10,15680,73.0,4.0,,28.82,127446.0,-0.054462,24500.0
4200220,2019-10,15681,73.0,4.0,,26.17,6409.0,0.002364,12550.0
4200221,2019-10,15682,73.0,4.0,,25.805,7481.0,0.002129,11600.0
4200222,2019-10,15685,73.0,4.0,,76.47,15711.0,0.007242,10500.0
4200223,2019-10,15686,73.0,4.0,,39.1,8320.0,0.017434,23300.0
4200224,2019-10,15687,73.0,4.0,,37.2,28736.0,0.010321,38500.0
4200225,2019-10,15688,73.0,4.0,,34.0434,585.0,0.01109,1180.0
4200226,2019-10,15689,73.0,4.0,,38.9645,1590.0,0.012788,1200.0
4200227,2019-10,15690,73.0,4.0,,34.4009,915.0,0.043084,1450.0
4200228,2019-10,15693,73.0,4.0,,51.3275,743.0,0.026345,1150.0
4200229,2019-10,15694,11.0,1.0,,155.97,97283.0,0.15971400000000002,34793.0
4200230,2019-10,15695,73.0,5.0,,42.1306,309.0,0.045518,250.0
4200231,2019-10,15696,73.0,4.0,,56.4479,127.0,0.015464,50.0
4200232,2019-10,15697,73.0,4.0,,-63.575,9.0,0.016794999999999997,25.0
4200233,2019-10,15698,73.0,4.0,,62.5744,8.0,0.020503,35.0
4200234,2019-10,15699,73.0,4.0,,64.5819,74.0,0.021684,125.0
4200235,2019-10,15702,12.0,3.0,,70.73,83011.0,-0.041469,48400.0
4200236,2019-10,15707,11.0,1.0,,16.41,1852635.0,0.08174,1305601.0
